Freq [GHz],78 GHz,100 GHz,140 GHz
102,0.000108127,0.970660419,0.00020124
103,7.9875E-05,0.975744889,0.000211115
104,6.34591E-05,0.977229125,0.000235696
105,5.44758E-05,0.974630971,0.000281367
106,4.92178E-05,0.969586825,0.000349701
107,4.49737E-05,0.965353411,0.000434401
108,3.99947E-05,0.965591196,0.000517899
109,3.32415E-05,0.971592662,0.000567002
110,2.42487E-05,0.97357097,0.000531745
111,1.42368E-05,0.921749766,0.000386842
112,1.06047E-05,0.690132271,0.000335436
113,2.22386E-05,0.294576477,0.000724546
114,3.55582E-05,0.0581485,0.000880962
115,4.03663E-05,0.002250307,0.000193352
116,4.00693E-05,0.003097134,0.001544726
117,3.73518E-05,0.010897898,0.028755002
118,3.33212E-05,0.014844498,0.085855446
119,3.00711E-05,0.015487305,0.100758631
120,2.708E-05,0.014163618,0.108998362
121,2.41107E-05,0.011933815,0.124558879
122,2.11618E-05,0.00951136,0.149564734
123,1.82354E-05,0.007261,0.186064548
124,1.53261E-05,0.005327803,0.237061872
125,1.24406E-05,0.003744681,0.306107693
126,9.62501E-06,0.00249847,0.396036111
127,6.99486E-06,0.001563878,0.506434336
128,4.74281E-06,0.000913877,0.630331196
129,3.0848E-06,0.000513244,0.752846023
130,2.14008E-06,0.000308283,0.85566385
131,1.83817E-06,0.000229998,0.926242632
132,1.95555E-06,0.000213294,0.963705439
133,2.24326E-06,0.000214069,0.976353467
134,2.52321E-06,0.000211452,0.975102926
135,2.70688E-06,0.000199945,0.968850427
136,2.77053E-06,0.000181015,0.96311063
137,2.72507E-06,0.000158025,0.960492122
138,2.59645E-06,0.000134062,0.961570476
139,2.41504E-06,0.000111359,0.965661948
140,2.21069E-06,9.12915E-05,0.971363994
141,2.01033E-06,7.45389E-05,0.976999795
142,1.83575E-06,6.12613E-05,0.980993183
143,1.70206E-06,5.12357E-05,0.982211816
144,1.61636E-06,4.39798E-05,0.980230684
145,1.57734E-06,3.88699E-05,0.975438695
146,1.57646E-06,3.5248E-05,0.968968547
147,1.59962E-06,3.25088E-05,0.962459103
148,1.62953E-06,3.01522E-05,0.95773625
149,1.64755E-06,2.78035E-05,0.956415541
150,1.63518E-06,2.52079E-05,0.959479021
151,1.57505E-06,2.22172E-05,0.966680274
152,1.45321E-06,1.87863E-05,0.975687597
153,1.26387E-06,1.49979E-05,0.9809397
154,1.01875E-06,1.11143E-05,0.972722595
155,7.58512E-07,7.61986E-06,0.93803099
156,5.55494E-07,5.14632E-06,0.865742785
157,4.89104E-07,4.18509E-06,0.755333072
158,5.99335E-07,4.74334E-06,0.621289192
159,8.62096E-07,6.31969E-06,0.485940045
160,1.21321E-06,8.24867E-06,0.367072398
161,1.58984E-06,1.00382E-05,0.272172977
162,1.95192E-06,1.14586E-05,0.200672641
163,2.2817E-06,1.24673E-05,0.148417563
164,2.57551E-06,1.31119E-05,0.110689955
165,2.83653E-06,1.34674E-05,0.0834765
166,3.07035E-06,1.36065E-05,0.063736052
167,3.28291E-06,1.35902E-05,0.049284444
168,3.47968E-06,1.34673E-05,0.038588674
169,3.66535E-06,1.32721E-05,0.030579867
170,3.84395E-06,1.30311E-05,0.024513225
171,4.02031E-06,1.27636E-05,0.019865775
172,4.19607E-06,1.24838E-05,0.016267217
173,4.37374E-06,1.22025E-05,0.013452752
174,4.55558E-06,1.19275E-05,0.011230913
175,4.74373E-06,1.16643E-05,0.009461745
176,4.94004E-06,1.14173E-05,0.008042054
177,5.14655E-06,1.11896E-05,0.006894695
178,5.36511E-06,1.09836E-05,0.005961786
179,5.59762E-06,1.0801E-05,0.005199347
180,5.84619E-06,1.06424E-05,0.004573817
181,6.11286E-06,1.05076E-05,0.004059321
182,6.40004E-06,1.03944E-05,0.003635957
183,6.71012E-06,1.02974E-05,0.003288139
184,7.04595E-06,1.02039E-05,0.003003402
185,7.41048E-06,1.00869E-05,0.002770738
186,7.80716E-06,9.88775E-06,0.00257743
187,8.23983E-06,9.48258E-06,0.002400902
188,8.71295E-06,8.62756E-06,0.002186638
189,9.232E-06,6.95071E-06,0.001805205
