Freq [GHz],Sim re(Z),Sim im(Z),Fit re(Z),Fit im(Z)
152,61.8492383,2.664915802,50.09139532,-11.46063915
154,59.55636251,12.38554768,51.43530495,3.466667486
156,64.67825867,22.53231169,57.03670908,17.9019741
158,66.92396734,31.88318042,66.25478228,30.6228467
160,75.74847655,39.92160433,78.18317563,40.62643041
162,84.46337518,47.10857278,91.74767656,47.19412952
164,98.4480002,50.7502318,105.8072142,49.92606327
166,108.0307999,50.29396199,119.2495604,48.74636786
168,122.2370022,53.83180798,131.074794,43.88261873
170,146.6080319,44.61567321,140.4615864,35.82421276
171,,,144.0445405,30.8077551
172,,,146.8134117,25.26547229
173,,,148.7328861,19.30531472
174,,,149.7837205,13.03955687
175,,,149.9624458,6.582639077
176,,,149.2808048,0.049080198
177,,,147.7649522,-6.448506165
178,,,145.4544449,-12.80126311
179,,,142.4010532,-18.90578539
180,,,138.6674233,-24.66563819
181,,,134.3256242,-29.99268431
182,,,129.4556092,-34.80820895
183,,,124.1436228,-39.0438353
184,,,118.4805837,-42.64222823
185,,,112.5604697,-45.55758703
186,,,106.4787322,-47.75593162
187,,,100.3307627,-49.21518957
188,,,94.21043333,-49.92509423
189,,,88.20872903,-49.88690619
190,,,82.41248827,-49.11297272
191,,,76.90326463,-47.62614095
192,,,71.75631999,-45.45904212
193,,,67.03975688,-42.65326465
194,,,62.81379505,-39.25843478
195,,,59.13019485,-35.33122321
196,,,56.03182769,-30.93429635
197,,,53.55239152,-26.13523028
198,,,51.71626754,-21.00540495
199,,,50.53851235,-15.61889527
200,,,50.02497833,-10.05137461
201,,,50.17255366,-4.379045317
202,,,50.9695122,1.322390617
203,,,52.39596268,6.978709099
204,,,54.42438589,12.51807917
205,,,57.02024793,17.8719072
206,,,60.1426777,22.97560274
207,,,63.74519618,27.76925999
208,,,67.77648563,32.19825084
209,,,72.18118654,36.21372615
210,,,76.90071115,39.77302402
211,,,81.87406221,42.83998447
212,,,87.0386467,45.38517159
213,,,92.33107476,47.38600515
214,,,97.68793485,48.82680456
215,,,103.0465369,49.69874922
216,,,108.3456165,49.99975989
217,,,113.5259932,49.73430637
218,,,118.5311778,48.91314762
219,,,123.307925,47.55301045
220,,,127.8067253,45.67621377
221,,,131.9822366,43.31024517
222,,,135.793651,40.48729703
223,,,139.2049979,37.24376939
224,,,142.1853812,33.6197466
225,,,144.7091527,29.65845492
226,,,146.7560223,25.40570778
227,,,148.3111069,20.90934531
228,,,149.36492,16.21867454
229,,,149.9133054,11.38391601
230,,,149.9573191,6.455662466
231,,,149.5030607,1.48435464
232,,,148.5614612,-3.480221264
233,,,147.1480297,-8.389410177
234,,,145.2825636,-13.19613528
235,,,142.9888281,-17.85531243
236,,,140.294208,-22.32422934
237,,,137.2293375,-26.56288729
238,,,133.8277131,-30.53430375
239,,,130.125292,-34.20477478
240,,,126.1600842,-37.54409643
241,,,121.9717381,-40.525745
242,,,117.6011277,-43.12701605
243,,,113.089943,-45.32912301
244,,,108.4802878,-47.11725606
245,,,103.8142885,-48.48060252
246,,,99.13371688,-49.41233034
247,,,94.47963007,-49.90953648
248,,,89.89202913,-49.97316207
249,,,85.40953989,-49.60787668
250,,,81.06911687,-48.82193406
251,,,76.90577251,-47.62700179
252,,,72.95233255,-46.03796759
253,,,69.23921895,-44.07272484
254,,,65.79426072,-41.75194019
255,,,62.64253337,-39.0988059
256,,,59.8062268,-36.13877973
257,,,57.30454195,-32.89931508
258,,,55.15361538,-29.40958412
259,,,53.3664717,-25.70019628
260,,,51.95300273,-21.80291499
261,,,50.91997256,-17.75037465
262,,,50.27104749,-13.57580043
263,,,50.00684938,-9.312732846
264,,,50.1250312,-4.994759236
265,,,50.62037315,-0.655253897
266,,,51.48489779,3.672871382
267,,,52.70800249,7.957404876
268,,,54.27660754,12.16705922
269,,,56.17531803,16.27168124
270,,,58.38659777,20.24244635
271,,,60.89095344,24.05203656
272,,,63.6671272,27.67480155
273,,,66.69229596,31.08690215
274,,,69.94227549,34.26643599
275,,,73.39172786,37.19354495
276,,,77.01437036,39.85050452
277,,,80.78318447,42.22179501
278,,,84.67062331,44.2941548
279,,,88.64881611,46.05661608
280,,,92.68976852,47.50052338
281,,,96.76555729,48.61953543
282,,,100.8485183,49.40961115
283,,,104.911427,49.8689802
284,,,108.9276699,49.99809918
285,,,112.8714071,49.79959409
286,,,116.7177236,49.27819013
287,,,120.442771,48.44062967
288,,,124.0238967,47.29557956
289,,,127.4397618,45.85352856
290,,,130.6704466,44.12667617
291,,,133.6975437,42.12881376
292,,,136.5042388,39.87519917
293,,,139.0753786,37.38242574
294,,,141.3975258,34.66828689
295,,,143.4590026,31.75163725
